university,degree,season,decision,gpa,gre_verbal,gre_quant,gre_writing,status,uni_faculty,uni_pub,world_ranking
Carnegie Mellon University (CMU),PhD,F15,Accepted,3.8,159.0,170.0,4.0,International with US Degree,152.0,18.1,20
University Of Oregon,PhD,F15,Accepted,3.3,161.0,168.0,4.5,American,13.0,1.4,263
University Of Pennsylvania (UPenn),PhD,F15,Rejected,3.4,168.0,170.0,4.0,International,46.0,5.6,19
Carnegie Mellon University (CMU),MS,F15,Accepted,3.89,160.0,165.0,3.0,International,152.0,18.1,20
University Of Pennsylvania (UPenn),PhD,F15,Rejected,3.7,160.0,170.0,4.0,American,46.0,5.6,19
Carnegie Mellon University (CMU),MS,F15,Accepted,3.6,159.0,170.0,3.5,International with US Degree,152.0,18.1,20
University Of Notre Dame,PhD,F15,Accepted,3.95,155.0,159.0,4.5,Other,22.0,1.9,63
Carnegie Mellon University (CMU),MS,F15,Accepted,3.6,154.0,165.0,3.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.78,158.0,170.0,3.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.78,170.0,158.0,3.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.8,156.0,168.0,4.0,International,152.0,18.1,20
Cornell University,PhD,F15,Rejected,3.6,164.0,166.0,4.0,American,68.0,8.7,14
Carnegie Mellon University (CMU),MS,F15,Accepted,3.93,170.0,163.0,5.0,International with US Degree,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.3,150.0,162.0,3.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.75,150.0,170.0,4.0,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Rejected,3.6,161.0,168.0,3.5,American,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,4.0,161.0,169.0,4.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.44,162.0,163.0,4.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Rejected,3.9,163.0,167.0,4.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.97,150.0,168.0,4.5,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Rejected,3.58,159.0,160.0,5.0,American,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.8,148.0,170.0,3.0,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Rejected,3.68,165.0,165.0,4.0,American,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.76,155.0,160.0,4.0,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.9,168.0,152.0,4.0,International,152.0,18.1,20
Carnegie Mellon University (CMU),MS,F15,Accepted,3.76,164.0,170.0,3.5,International,152.0,18.1,20
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.85,152.0,169.0,3.0,International,57.0,8.4,23
"University Of Maryland, College Park (UMD)",PhD,F15,Accepted,3.52,165.0,170.0,5.0,International,52.0,6.4,98
"University Of Wisconsin, Madison",MS,F15,Rejected,4.0,162.0,164.0,4.0,International,48.0,5.9,27
University Of Southern California (USC),MS,F15,Accepted,3.9,159.0,168.0,4.5,International with US Degree,50.0,5.7,73
Princeton University,MS,F15,Rejected,3.87,167.0,170.0,4.5,International,51.0,5.3,5
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.4,168.0,170.0,4.0,International,57.0,8.4,23
"University Of Wisconsin, Madison",MS,F15,Rejected,3.8,161.0,169.0,3.0,International,48.0,5.9,27
Tufts University,PhD,F15,Accepted,3.9,165.0,169.0,4.5,American,13.0,1.6,53
"University Of Wisconsin, Madison",MS,F15,Rejected,3.97,150.0,168.0,4.5,International,48.0,5.9,27
"University Of California, Santa Cruz (UCSC)",PhD,F15,Accepted,4.0,162.0,168.0,4.0,International,32.0,2.7,68
Carnegie Mellon University (CMU),MS,F15,Rejected,3.78,162.0,162.0,3.0,International,152.0,18.1,20
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.8,153.0,170.0,3.5,American,57.0,8.4,23
"University Of Maryland, College Park (UMD)",PhD,F15,Accepted,3.8,166.0,160.0,4.0,International,52.0,6.4,98
Duke University,PhD,F15,Accepted,3.38,158.0,170.0,4.0,International,22.0,2.8,24
Rensselaer Polytechnic Institute (RPI),PhD,F15,Accepted,3.89,158.0,168.0,4.0,International,13.0,1.8,104
"University Of Wisconsin, Madison",MS,F15,Rejected,3.5,154.0,163.0,4.0,International,48.0,5.9,27
Stanford University,PhD,F15,Rejected,2.95,152.0,163.0,3.0,International,57.0,11.5,4
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,2.95,152.0,163.0,3.0,International,57.0,8.4,23
"University Of Wisconsin, Madison",PhD,F15,Rejected,2.95,152.0,163.0,3.0,International,48.0,5.9,27
Rensselaer Polytechnic Institute (RPI),PhD,F15,Accepted,3.84,166.0,168.0,5.5,International,13.0,1.8,104
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.28,165.0,166.0,5.5,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.28,165.0,166.0,5.5,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.3,150.0,162.0,3.5,International,48.0,5.9,27
University Of Pennsylvania (UPenn),MS,F15,Rejected,3.65,170.0,161.0,5.0,International,46.0,5.6,19
Rensselaer Polytechnic Institute (RPI),PhD,F15,Rejected,3.15,157.0,165.0,4.5,International,13.0,1.8,104
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.8,154.0,170.0,4.5,International,57.0,8.4,23
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.15,157.0,165.0,4.5,International,24.0,2.1,38
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.15,157.0,165.0,4.5,International,48.0,5.9,27
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.84,154.0,167.0,3.5,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.9,165.0,169.0,4.5,American,57.0,8.4,23
Harvard University,MS,F15,Accepted,3.89,155.0,170.0,3.5,International with US Degree,29.0,4.2,2
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.2,159.0,168.0,3.5,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.5,159.0,158.0,4.0,International,57.0,8.4,23
North Caroline State University (NCSU),PhD,F15,Accepted,3.11,149.0,167.0,3.0,International,30.0,2.3,1000
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.8,170.0,155.0,3.5,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.7,164.0,166.0,4.0,American,57.0,8.4,23
"University Of Maryland, College Park (UMD)",MS,F15,Accepted,3.94,161.0,168.0,4.0,International,52.0,6.4,98
Brown University,PhD,F15,Accepted,3.75,166.0,167.0,4.5,American,26.0,3.3,55
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.78,152.0,163.0,3.0,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.6,151.0,169.0,3.5,International with US Degree,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.5,160.0,170.0,4.0,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.83,154.0,170.0,4.0,International with US Degree,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.46,145.0,154.0,3.5,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,4.0,155.0,170.0,4.0,International with US Degree,57.0,8.4,23
"University Of Wisconsin, Madison",MS,F15,Rejected,3.7,158.0,170.0,4.0,International,48.0,5.9,27
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.92,167.0,153.0,4.0,International with US Degree,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,4.0,156.0,166.0,4.0,American,57.0,8.4,23
"University Of Illinois, Urbana-Champaign (UIUC)",MS,F15,Accepted,3.66,167.0,163.0,5.0,American,83.0,9.9,33
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.65,152.0,164.0,3.0,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.7,154.0,168.0,4.5,International,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.94,159.0,168.0,5.0,American,57.0,8.4,23
North Caroline State University (NCSU),PhD,F15,Accepted,3.72,168.0,145.0,3.5,International,30.0,2.3,1000
Brown University,PhD,S15,Accepted,4.0,143.0,157.0,4.5,International,26.0,3.3,55
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.22,167.0,167.0,5.0,American,48.0,5.9,27
"University Of California, Santa Cruz (UCSC)",PhD,F15,Accepted,3.86,143.0,167.0,3.0,International,32.0,2.7,68
University Of Kansas,PhD,F15,Accepted,3.9,165.0,169.0,4.5,American,11.0,1.2,290
University Of Chicago (UChicago),PhD,F15,Accepted,3.0,165.0,169.0,4.5,American,23.0,2.7,12
"Indiana University, Bloomington",PhD,F15,Accepted,3.9,165.0,169.0,4.5,American,42.0,2.6,156
Northeastern University,PhD,F15,Accepted,3.9,165.0,169.0,4.5,American,55.0,4.7,213
Colorado School Of Mines (CSM),PhD,F15,Rejected,3.59,164.0,162.0,4.0,American,8.0,1.5,213
"University Of Illinois, Urbana-Champaign (UIUC)",MS,F15,Accepted,3.88,163.0,168.0,4.5,American,83.0,9.9,33
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.3,154.0,168.0,4.0,International,48.0,5.9,27
"University Of Washington, Seattle (UW)",PhD,F15,Rejected,3.72,154.0,159.0,4.0,American,57.0,8.4,23
University Of Central Florida (UCF),PhD,F15,Accepted,3.7,146.0,162.0,2.5,International,24.0,2.0,1000
University Of South Florida (USF),PhD,F15,Accepted,3.7,162.0,146.0,2.5,International,10.0,1.3,325
"University Of Wisconsin, Madison",MS,F15,Rejected,3.95,159.0,166.0,5.0,American,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.51,151.0,164.0,3.0,International,48.0,5.9,27
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.78,152.0,163.0,3.0,International,48.0,5.9,27
George Washington University (GWU),MS,F15,Accepted,3.4,146.0,152.0,3.0,International,11.0,1.4,95
"University Of Wisconsin, Madison",MS,F15,Rejected,3.9,152.0,166.0,3.5,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.5,161.0,165.0,3.5,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.69,155.0,167.0,4.0,International,48.0,5.9,27
"University Of Illinois, Urbana-Champaign (UIUC)",MS,F15,Accepted,3.94,161.0,168.0,4.0,International,83.0,9.9,33
"University Of Wisconsin, Madison",PhD,F15,Rejected,3.8,162.0,170.0,3.5,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.8,148.0,170.0,3.0,International,48.0,5.9,27
"University Of Wisconsin, Madison",MS,F15,Rejected,3.72,155.0,167.0,4.0,International,48.0,5.9,27
"University Of Michigan, Ann Arbor (UMich)",PhD,F15,Accepted,3.6,151.0,169.0,3.5,International with US Degree,63.0,8.6,15
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Accepted,4.0,156.0,170.0,3.5,International,37.0,3.1,52
"University Of California, Los Angeles (UCLA)",MS,F15,Accepted,4.0,156.0,170.0,3.5,International,37.0,5.0,11
George Washington University (GWU),MS,F15,Accepted,2.85,164.0,152.0,3.0,International,11.0,1.4,95
University Of Delaware,PhD,F15,Accepted,3.49,154.0,159.0,5.0,American,11.0,1.4,159
University Of Central Florida (UCF),PhD,F14,Rejected,3.49,154.0,159.0,5.0,American,24.0,2.0,1000
"University Of Michigan, Ann Arbor (UMich)",PhD,F15,Accepted,3.22,167.0,167.0,5.0,American,63.0,8.6,15
Washington State University (WSU),PhD,F15,Accepted,3.9,145.0,162.0,3.0,International,12.0,1.4,325
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.97,148.0,170.0,3.0,International,57.0,8.4,23
George Washington University (GWU),MS,F15,Accepted,3.14,145.0,165.0,3.0,International,11.0,1.4,95
"University Of Maryland, College Park (UMD)",PhD,F15,Accepted,3.81,165.0,151.0,3.0,International with US Degree,52.0,6.4,98
University Of Central Florida (UCF),PhD,F15,Accepted,2.7,148.0,166.0,3.5,International,24.0,2.0,1000
University Of Central Florida (UCF),PhD,F15,Accepted,2.7,148.0,166.0,3.5,International,24.0,2.0,1000
Brown University,PhD,F15,Accepted,3.63,165.0,163.0,5.0,American,26.0,3.3,55
Georgia Institute Of Technology (GTech),PhD,F15,Accepted,3.7,165.0,165.0,5.5,American,73.0,6.7,27
Georgia Institute Of Technology (GTech),PhD,F15,Accepted,3.89,161.0,168.0,3.5,International,73.0,6.7,27
Georgia Institute Of Technology (GTech),PhD,F15,Accepted,4.0,158.0,170.0,4.0,International,73.0,6.7,27
Purdue University,PhD,F15,Accepted,4.0,158.0,170.0,4.0,International,53.0,4.8,106
"University Of Maryland, College Park (UMD)",PhD,F15,Accepted,3.3,167.0,170.0,4.0,International,52.0,6.4,98
Princeton University,PhD,F15,Rejected,3.5,145.0,160.0,4.0,American,51.0,5.3,5
Stanford University,PhD,F15,Rejected,3.8,153.0,170.0,3.5,American,57.0,11.5,4
Purdue University,PhD,F15,Accepted,3.89,152.0,163.0,3.5,International,53.0,4.8,106
Georgia Institute Of Technology (GTech),PhD,F15,Accepted,4.0,148.0,170.0,3.0,International,73.0,6.7,27
Georgia Institute Of Technology (GTech),PhD,F15,Accepted,3.9,152.0,165.0,4.0,American,73.0,6.7,27
"University Of Maryland, College Park (UMD)",PhD,F15,Accepted,3.84,161.0,165.0,3.5,International,52.0,6.4,98
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.6,161.0,168.0,3.5,American,53.0,6.9,32
Princeton University,MS,F15,Rejected,3.91,153.0,166.0,4.0,International,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.8,161.0,168.0,4.0,International,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.97,148.0,170.0,3.0,International,51.0,5.3,5
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.65,154.0,162.0,4.0,International,53.0,6.9,32
Princeton University,PhD,F15,Rejected,3.8,162.0,161.0,4.0,American,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.4,168.0,170.0,4.0,International,51.0,5.3,5
"University Of Wisconsin, Madison",MS,F15,Accepted,3.9,155.0,165.0,4.0,International,48.0,5.9,27
University Of Notre Dame,PhD,F15,Accepted,3.66,150.0,170.0,3.5,International,22.0,1.9,63
Princeton University,PhD,F15,Rejected,3.65,158.0,167.0,3.0,International,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.67,164.0,159.0,4.5,International,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.81,170.0,170.0,5.0,International,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.93,160.0,165.0,3.5,American,51.0,5.3,5
Carnegie Mellon University (CMU),MS,F15,Rejected,3.74,161.0,163.0,4.0,International,152.0,18.1,20
Princeton University,MS,F15,Rejected,3.78,162.0,167.0,4.0,American,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.85,152.0,169.0,3.0,International,51.0,5.3,5
University Of Notre Dame,PhD,F15,Accepted,3.84,166.0,168.0,5.5,International,22.0,1.9,63
Princeton University,MS,F15,Rejected,4.0,163.0,168.0,4.5,International,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.78,170.0,157.0,3.5,International,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.8,162.0,170.0,5.0,American,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.9,152.0,166.0,3.5,International,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.52,155.0,169.0,4.5,American,51.0,5.3,5
Princeton University,MS,F15,Rejected,3.7,159.0,170.0,3.5,International with US Degree,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.9,167.0,155.0,3.5,International with US Degree,51.0,5.3,5
Princeton University,PhD,F15,Rejected,3.85,150.0,170.0,3.5,International,51.0,5.3,5
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.75,155.0,167.0,4.0,International with US Degree,53.0,6.9,32
University Of Southern California (USC),MS,F15,Accepted,3.9,159.0,168.0,4.5,International with US Degree,50.0,5.7,73
Harvard University,PhD,F15,Accepted,3.83,153.0,170.0,3.0,International,29.0,4.2,2
"Indiana University, Bloomington",PhD,F15,Accepted,3.66,167.0,163.0,5.0,American,42.0,2.6,156
Stanford University,PhD,F15,Rejected,3.71,157.0,161.0,4.0,International with US Degree,57.0,11.5,4
Carnegie Mellon University (CMU),MS,F15,Accepted,3.73,170.0,168.0,5.0,International,152.0,18.1,20
University Of Pennsylvania (UPenn),PhD,F15,Accepted,3.95,164.0,170.0,4.0,International with US Degree,46.0,5.6,19
Carnegie Mellon University (CMU),MS,F15,Rejected,3.5,169.0,152.0,3.0,International,152.0,18.1,20
"University Of Wisconsin, Madison",PhD,F15,Accepted,3.84,166.0,168.0,5.5,International,48.0,5.9,27
University Of Virginia (UVA),PhD,F15,Accepted,3.6,158.0,168.0,4.5,American,21.0,2.4,72
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.75,157.0,170.0,4.0,International,53.0,6.9,32
University Of Pennsylvania (UPenn),MS,F15,Rejected,3.7,160.0,170.0,4.0,International,46.0,5.6,19
"University Of California, Los Angeles (UCLA)",MS,F15,Accepted,3.5,158.0,162.0,4.0,International,37.0,5.0,11
Stanford University,PhD,F15,Rejected,3.41,141.0,151.0,3.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.9,165.0,168.0,5.0,International with US Degree,57.0,11.5,4
Carnegie Mellon University (CMU),MS,F15,Accepted,3.5,160.0,170.0,4.0,International,152.0,18.1,20
Stanford University,PhD,F15,Rejected,3.86,143.0,167.0,3.0,International,57.0,11.5,4
"University Of California, San Diego (UCSD)",MS,F15,Accepted,4.0,148.0,168.0,4.0,International,53.0,6.9,32
Stanford University,PhD,F15,Rejected,3.7,152.0,170.0,3.0,International with US Degree,57.0,11.5,4
Carnegie Mellon University (CMU),MS,F15,Accepted,3.75,151.0,170.0,3.0,International,152.0,18.1,20
Stanford University,PhD,F15,Rejected,3.27,165.0,166.0,5.5,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.7,170.0,170.0,5.0,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,4.0,165.0,162.0,5.0,International,57.0,11.5,4
Stanford University,PhD,S15,Rejected,3.96,168.0,170.0,5.0,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.8,170.0,170.0,5.5,American,57.0,11.5,4
"University Of Illinois, Urbana-Champaign (UIUC)",PhD,F15,Accepted,3.7,153.0,164.0,3.0,International,83.0,9.9,33
Stanford University,PhD,F15,Accepted,3.76,150.0,170.0,3.0,International with US Degree,57.0,11.5,4
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.95,164.0,170.0,4.0,International with US Degree,57.0,8.4,23
Stanford University,PhD,F15,Rejected,3.8,170.0,168.0,4.0,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.7,164.0,166.0,4.0,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,4.0,150.0,167.0,4.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.9,164.0,166.0,4.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.46,145.0,154.0,3.5,International,57.0,11.5,4
Carnegie Mellon University (CMU),PhD,F15,Rejected,4.0,165.0,170.0,5.5,International with US Degree,152.0,18.1,20
"University Of California, Irvine (UCI)",PhD,F15,Accepted,3.62,165.0,163.0,5.0,American,55.0,4.3,49
Stanford University,PhD,F15,Rejected,3.85,152.0,169.0,3.0,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.94,145.0,170.0,3.0,International,57.0,11.5,4
Stanford University,PhD,F15,Accepted,4.0,170.0,153.0,4.0,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.84,154.0,167.0,3.5,International,57.0,11.5,4
"University Of Wisconsin, Madison",MS,F15,Accepted,3.86,152.0,165.0,4.0,International,48.0,5.9,27
Stanford University,PhD,F15,Rejected,3.1,159.0,160.0,5.0,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,4.0,152.0,170.0,4.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Accepted,3.1,160.0,160.0,4.5,International,57.0,11.5,4
Stanford University,PhD,S15,Rejected,4.0,160.0,165.0,3.5,International with US Degree,57.0,11.5,4
Stanford University,PhD,S15,Rejected,3.92,170.0,153.0,3.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.93,160.0,165.0,3.5,American,57.0,11.5,4
Stanford University,MS,F15,Rejected,3.94,161.0,164.0,3.0,International with US Degree,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.8,158.0,165.0,4.5,International,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.82,162.0,167.0,4.5,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.82,162.0,167.0,4.5,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.7,160.0,168.0,4.5,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.94,167.0,170.0,4.0,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.4,168.0,166.0,6.0,American,57.0,11.5,4
Stanford University,PhD,F15,Rejected,3.85,170.0,158.0,6.0,American,57.0,11.5,4
"University Of California, Santa Barbara (UCSB)",PhD,F15,Accepted,3.68,156.0,170.0,3.0,International,25.0,3.5,29
"University Of Wisconsin, Madison",MS,F15,Accepted,3.7,166.0,170.0,4.5,International,48.0,5.9,27
Princeton University,PhD,F15,Accepted,3.7,170.0,170.0,5.0,International,51.0,5.3,5
Princeton University,PhD,F15,Accepted,3.97,166.0,168.0,4.0,American,51.0,5.3,5
University Of Utah (UoU),PhD,F15,Accepted,3.6,152.0,164.0,3.5,International,40.0,3.6,83
"University Of California, Santa Barbara (UCSB)",PhD,F15,Accepted,3.84,153.0,164.0,3.0,International,25.0,3.5,29
Princeton University,PhD,F15,Accepted,4.0,163.0,168.0,4.0,International,51.0,5.3,5
Drexel University,MS,F15,Rejected,3.03,144.0,161.0,2.5,International,12.0,1.5,190
Princeton University,PhD,F15,Accepted,3.4,168.0,168.0,4.5,American,51.0,5.3,5
University Of Chicago (UChicago),MS,F15,Rejected,3.15,156.0,158.0,4.0,American,23.0,2.7,12
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,4.0,161.0,168.0,4.5,American,24.0,2.1,38
CUNY,PhD,F15,Accepted,3.55,164.0,168.0,5.0,American,24.0,1.6,1000
"University Of Minnesota, Twin Cities (UMN)",PhD,F15,Accepted,3.84,161.0,165.0,3.5,International,37.0,3.1,52
Cornell University,PhD,F15,Rejected,3.8,170.0,170.0,5.5,American,68.0,8.7,14
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.84,166.0,168.0,5.5,International,24.0,2.1,38
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.8,153.0,161.0,3.5,International,24.0,2.1,38
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.95,153.0,163.0,4.0,International with US Degree,24.0,2.1,38
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.56,142.0,159.0,3.0,International,24.0,2.1,38
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.8,156.0,166.0,4.0,International with US Degree,24.0,2.1,38
"Washington University, St. Louis (WUSTL)",PhD,F15,Rejected,3.6,157.0,164.0,3.0,International,24.0,2.1,38
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.9,152.0,168.0,4.0,International,53.0,6.9,32
University Of Delaware,MS,F15,Accepted,3.75,147.0,170.0,3.0,International,11.0,1.4,159
University Of Delaware,MS,F15,Accepted,3.75,170.0,147.0,3.0,International,11.0,1.4,159
Nothwestern University,PhD,F15,Accepted,3.82,161.0,170.0,4.0,International,37.0,3.4,26
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.1,160.0,160.0,4.5,American,85.0,12.3,3
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.7,166.0,162.0,4.5,International with US Degree,57.0,8.4,23
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.62,165.0,163.0,5.0,American,57.0,8.4,23
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.92,160.0,168.0,4.5,International,85.0,12.3,3
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,4.0,152.0,170.0,4.0,International with US Degree,57.0,8.4,23
Cornell University,PhD,F15,Accepted,4.0,170.0,165.0,5.0,American,68.0,8.7,14
"University Of Washington, Seattle (UW)",PhD,F15,Accepted,3.86,143.0,167.0,3.0,International,57.0,8.4,23
"University Of California, Santa Cruz (UCSC)",PhD,F15,Accepted,3.46,145.0,154.0,3.5,International,32.0,2.7,68
Rochester Institute Of Technology (RIT),MS,F15,Accepted,3.5,150.0,166.0,3.5,International,19.0,1.5,700
"University Of Texas, Dallas (UT Dallas)",MS,F15,Accepted,3.45,150.0,166.0,3.5,International,34.0,2.3,260
"University Of Texas, Austin (UT Austin)",PhD,F15,Accepted,3.4,163.0,165.0,3.5,American,42.0,5.4,29
University Of Chicago (UChicago),MS,F15,Accepted,3.67,162.0,170.0,4.5,American,23.0,2.7,12
"University Of California, San Diego (UCSD)",MS,F15,Accepted,3.63,169.0,152.0,3.0,International,53.0,6.9,32
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,4.0,168.0,170.0,5.5,American,85.0,12.3,3
"University Of California, Los Angeles (UCLA)",MS,F15,Accepted,3.52,169.0,155.0,4.5,American,37.0,5.0,11
Columbia University,PhD,F15,Accepted,4.0,170.0,165.0,5.0,International,47.0,5.8,18
Columbia University,PhD,F15,Accepted,4.0,167.0,165.0,4.5,American,47.0,5.8,18
Columbia University,PhD,F15,Accepted,4.0,170.0,170.0,5.0,International,47.0,5.8,18
Massachusetts Institute Of Technology (MIT),PhD,F15,Rejected,4.0,168.0,168.0,5.0,American,85.0,12.3,3
"University Of California, San Diego (UCSD)",PhD,F15,Accepted,2.95,152.0,163.0,3.0,International,53.0,6.9,32
"University Of California, Berkeley (UCB)",PhD,F15,Accepted,4.0,167.0,165.0,5.0,American,83.0,11.1,8
Columbia University,PhD,F15,Accepted,4.0,170.0,169.0,4.5,International,47.0,5.8,18
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.9,157.0,164.0,3.0,International,85.0,12.3,3
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.95,155.0,159.0,4.5,Other,85.0,12.3,3
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.98,157.0,170.0,4.5,International,85.0,12.3,3
Massachusetts Institute Of Technology (MIT),PhD,F15,Accepted,3.9,162.0,168.0,4.0,International,85.0,12.3,3
University Of Virginia (UVA),PhD,F15,Accepted,3.2,167.0,167.0,5.0,American,21.0,2.4,72
Carnegie Mellon University (CMU),PhD,F15,Accepted,3.8,170.0,168.0,4.0,American,152.0,18.1,20
"University Of California, Los Angeles (UCLA)",MS,F15,Accepted,3.29,160.0,163.0,4.5,American,37.0,5.0,11
Cornell University,PhD,F15,Accepted,3.84,154.0,167.0,3.5,International,68.0,8.7,14
Cornell University,PhD,F15,Accepted,3.76,150.0,170.0,3.0,International with US Degree,68.0,8.7,14
