university,degree,season,decision,gpa,gre_verbal,gre_quant,gre_writing,status,uni_faculty,uni_pub,world_ranking
Rutgers University,PhD,F15,Rejected,3.55,160.0,167.0,3.5,International,43.0,3.6,105
George Mason University (GMU),MS,F15,Accepted,3.3,143.0,160.0,3.0,International,28.0,2.0,325
North Caroline State University (NCSU),MS,F15,Rejected,3.1,156.0,161.0,3.0,International,30.0,2.3,1000
Michigan State University (MSU),PhD,F15,Rejected,3.73,152.0,168.0,3.0,Other,19.0,1.9,122
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Rejected,3.5,140.0,160.0,3.0,International,37.0,3.1,52
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Rejected,3.6,159.0,164.0,3.5,International,37.0,3.1,52
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Rejected,3.74,154.0,167.0,3.5,International,37.0,3.1,52
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Rejected,4.0,162.0,163.0,4.0,International,37.0,3.1,52
University Of Southern California (USC),MS,F15,Rejected,3.6,161.0,168.0,3.5,American,50.0,5.7,73
University Of Southern California (USC),MS,F15,Accepted,3.6,161.0,168.0,3.5,American,50.0,5.7,73
University Of Southern California (USC),MS,F15,Accepted,3.6,161.0,168.0,3.5,American,50.0,5.7,73
University Of Southern California (USC),MS,F15,Rejected,3.5,158.0,168.0,4.0,International,50.0,5.7,73
University Of Southern California (USC),MS,F15,Rejected,3.4,150.0,163.0,2.5,International,50.0,5.7,73
University Of Pennsylvania (UPenn),MS,F15,Accepted,3.6,165.0,164.0,4.0,American,46.0,5.6,19
"University Of Tennessee, Knoxville",MS,F15,Wait listed,3.8,144.0,165.0,3.5,International,11.0,1.6,275
"Texas A&M University, College Station (TAMU)",PhD,F15,Accepted,3.65,159.0,165.0,3.5,International,38.0,3.1,164
Arizona State University (ASU),PhD,F15,Accepted,3.51,153.0,167.0,3.5,International,26.0,2.3,161
University Of Central Florida (UCF),PhD,F15,Accepted,3.51,153.0,167.0,3.5,International,24.0,2.0,1000
"University Of Illinois, Chicago (UIC)",PhD,F15,Accepted,3.51,153.0,167.0,3.5,International,33.0,2.8,197
Ohio State University (OSU),PhD,F15,Rejected,3.51,153.0,167.0,3.5,International,35.0,3.4,66
Oregon State University,PhD,F15,Rejected,3.51,153.0,157.0,3.5,International,30.0,2.8,288
Virginia Tech,PhD,F15,Rejected,3.51,153.0,167.0,3.5,International,39.0,2.4,72
"University Of Colorado, Boulder",PhD,F15,Rejected,3.44,159.0,156.0,3.0,American,47.0,3.0,67
University Of Houston,PhD,F15,Accepted,3.47,145.0,161.0,3.0,International,13.0,1.5,325
"University Of California, Riverside (UCR)",PhD,F15,Accepted,3.44,159.0,156.0,3.0,American,36.0,2.8,117
"University Of California, Davis (UCD)",PhD,F15,Accepted,3.44,159.0,156.0,3.0,American,28.0,2.9,54
"University Of California, Irvine (UCI)",PhD,F15,Rejected,3.44,159.0,156.0,3.5,American,55.0,4.3,49
Northeastern University,PhD,F15,Rejected,3.0,150.0,167.0,3.0,International,55.0,4.7,213
"University Of Minnesota, Twin Cities (UMN)",MS,F15,Accepted,3.67,154.0,164.0,3.0,International,37.0,3.1,52
"University Of California, Irvine (UCI)",PhD,F15,Rejected,3.8,157.0,170.0,4.0,International,55.0,4.3,49
Northeastern University,PhD,F15,Rejected,2.7,153.0,160.0,3.0,International,55.0,4.7,213
Rutgers University,MS,F15,Rejected,3.5,151.0,161.0,4.0,American,43.0,3.6,105
Northeastern University,PhD,F15,Rejected,1.93,160.0,163.0,3.0,International,55.0,4.7,213
University Of Pennsylvania (UPenn),MS,F15,Accepted,3.3,164.0,166.0,5.5,American,46.0,5.6,19
Rutgers University,MS,F15,Rejected,3.4,150.0,163.0,2.5,International,43.0,3.6,105
"University Of California, Irvine (UCI)",PhD,F15,Rejected,3.65,159.0,165.0,3.5,International,55.0,4.3,49
North Caroline State University (NCSU),PhD,F15,Rejected,3.89,158.0,168.0,4.0,International,30.0,2.3,1000
"University Of California, Davis (UCD)",MS,F15,Rejected,3.4,157.0,168.0,3.0,International,28.0,2.9,54
University Of Pennsylvania (UPenn),MS,F15,Rejected,3.73,156.0,158.0,5.5,American,46.0,5.6,19
Columbia University,MS,F15,Rejected,3.83,165.0,166.0,3.0,International,47.0,5.8,18
New York University (NYU),MS,F15,Accepted,3.15,156.0,158.0,4.0,American,46.0,4.3,60
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.4,155.0,162.0,3.5,International,55.0,4.3,49
"University Of California, Irvine (UCI)",MS,F15,Rejected,4.0,159.0,163.0,3.0,International,55.0,4.3,49
"University Of Colorado, Colorado Springs",MS,F15,Rejected,2.95,151.0,157.0,2.5,International,6.0,1.2,1000
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.7,151.0,168.0,3.5,International,55.0,4.3,49
"University Of California, Irvine (UCI)",PhD,F15,Rejected,3.68,153.0,162.0,4.0,International,55.0,4.3,49
"University Of California, Riverside (UCR)",PhD,F15,Accepted,3.56,158.0,165.0,4.0,American,36.0,2.8,117
Northeastern University,MS,F15,Accepted,3.32,152.0,167.0,3.5,International,55.0,4.7,213
"University Of California, Irvine (UCI)",MS,F15,Rejected,3.83,142.0,161.0,3.0,International,55.0,4.3,49
