"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"PhD","E-mail",NA,NA,NA,"American",48,5.9,1
"PhD","E-mail",NA,NA,NA,"International with US Degree",53,6.9,2
"PhD","Website",NA,NA,NA,"International",52,6.4,3
"PhD","Phone",3.68,160,170,"International",37,3.4,3
"PhD","E-mail",3.93,161,166,"American",57,8.4,2
"PhD","E-mail",3.94,140,166,"International",57,11.5,2
"PhD","E-mail",NA,NA,NA,"International",32,2.7,2
"PhD","Website",NA,154,166,"International",13,1.6,2
"PhD","E-mail",NA,NA,NA,"International",83,9.9,1
"PhD","E-mail",NA,NA,NA,"International",63,8.6,3
"PhD","Website",NA,NA,NA,"International",83,11.1,2
"MS","E-mail",NA,NA,NA,"American",55,4.3,3
"PhD","E-mail",3.94,167,170,"American",57,11.5,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",37,3.1,4
"PhD","Phone",NA,NA,NA,"International",63,8.6,1
"PhD","E-mail",3.53,154,162,"International",48,5.9,2
"MS","Website",NA,NA,NA,"Other",11,1.4,4
"MS","Website",NA,NA,NA,"Other",53,4.8,4
"MS","E-mail",3.67,163,170,"International",42,5.4,4
"PhD","E-mail",NA,NA,NA,"International",37,5,3
"MS","E-mail",NA,NA,NA,"International with US Degree",53,4.8,3
"PhD","Website",NA,NA,NA,"International",24,2,2
"PhD","E-mail",3.98,157,170,"International with US Degree",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International",51,5.3,2
"PhD","Website",NA,NA,NA,"American",29,4.2,3
"PhD","E-mail",3.98,158,166,"Other",42,5.4,2
"MS","E-mail",3.8,156,166,"International with US Degree",15,1.9,3
"PhD","E-mail",NA,NA,NA,"International",83,9.9,1
"MS","E-mail",3.76,170,152,"International",19,2.8,3
"PhD","Website",NA,NA,NA,"American",37,3.4,4
"PhD","E-mail",4,162,161,"International",46,4.3,3
"MS","E-mail",NA,NA,NA,"International",26,2.5,3
"MS","E-mail",NA,NA,NA,"International",73,6.7,3
"MS","E-mail",3.8,152,161,"International",15,1.5,5
"PhD","E-mail",NA,NA,NA,"International",53,4.8,1
"PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,3
"PhD","E-mail",3.92,160,170,"American",57,8.4,2
"MS","E-mail",NA,NA,NA,"American",6,1.1,3
"MS","E-mail",NA,NA,NA,"International",30,2.8,3
"PhD","E-mail",NA,158,166,"International with US Degree",83,9.9,4
"PhD","E-mail",3.95,154,166,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",57,11.5,2
"PhD","Website",NA,NA,NA,"International",35,3.4,4
"MS","Website",NA,151,166,"International",26,3.3,2
"MS","E-mail",NA,NA,NA,"International",22,2.4,5
"MS","Website",NA,NA,NA,"International",22,2.4,5
"MS","E-mail",NA,NA,NA,"American",50,5.7,5
"MS","E-mail",3.3,170,143,"International",NA,NA,3
"PhD","E-mail",NA,NA,NA,"American",57,8.4,2
"PhD","E-mail",NA,152,166,"International with US Degree",68,8.7,2
"PhD","E-mail",3.7,156,166,"International with US Degree",57,11.5,2
"PhD","E-mail",3.53,153,166,"International",53,4.8,2
"PhD","E-mail",NA,NA,NA,"International",37,5,2
"PhD","E-mail",NA,NA,NA,"International",25,3.5,2
"MS","E-mail",NA,NA,NA,"International",28,2.9,3
"PhD","E-mail",NA,NA,NA,"American",83,9.9,3
"MS","E-mail",4,155,162,"International with US Degree",19,2.8,3
"PhD","E-mail",NA,NA,NA,"International",22,2.8,3
"MS","E-mail",NA,NA,NA,"International",10,1.5,2
"PhD","E-mail",NA,NA,NA,"International",10,1.6,4
"MS","E-mail",3.67,156,166,"International",50,5.7,3
"PhD","E-mail",3.5,165,169,"American",25,3.5,2
"PhD","E-mail",NA,162,162,"American",37,3.4,4
"MS","E-mail",3.63,162,153,"American",152,18.1,3
"PhD","E-mail",NA,NA,NA,"American",57,11.5,2
"PhD","Website",NA,NA,NA,"International",53,4.8,2
"MS","Website",NA,NA,NA,"International",47,5.8,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",37,3.4,4
"PhD","Website",NA,NA,NA,"International",22,2.8,3
"MS","E-mail",NA,NA,NA,"International with US Degree",37,5,4
"PhD","E-mail",3.81,170,150,"International",21,2.1,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,3
"PhD","E-mail",NA,NA,NA,"American",21,2.4,3
"PhD","E-mail",NA,NA,NA,"International",46,4.3,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",23,2.7,2
"PhD","E-mail",3.79,139,166,"International",53,6.9,3
"PhD","E-mail",NA,NA,NA,"International",50,4.7,4
"PhD","Other",NA,NA,NA,"International",9,1.3,3
"PhD","E-mail",NA,NA,NA,"International",11,1.4,12
"MS","Website",3.81,143,165,"Other",24,2.1,4
"PhD","E-mail",NA,NA,NA,"International",73,6.7,5
"MS","Website",3.37,167,165,"American",24,2.1,6
"PhD","E-mail",3.4,155,147,"International",22,2.8,3
"PhD","E-mail",NA,NA,NA,"International",37,5,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,4
"MS","E-mail",NA,NA,NA,"International",42,5.4,3
"MS","E-mail",3.97,168,166,"International",152,18.1,3
"PhD","E-mail",3.87,152,170,"International",23,2.7,3
"MS","E-mail",3.7,154,163,"International",23,1.9,4
"MS","E-mail",3.68,157,164,"International with US Degree",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International",47,3,3
"MS","E-mail",3.6,153,166,"International",53,4.8,2
"PhD","E-mail",NA,170,149,"International",33,2.8,2
"PhD","Website",NA,NA,NA,"International",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.8,3
"PhD","E-mail",NA,NA,NA,"American",46,5.6,2
"PhD","Website",3.88,166,166,"International",42,5.4,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",19,1.6,3
"PhD","E-mail",NA,NA,NA,"International",46,4.3,3
"MS","Website",NA,NA,NA,"American",83,9.9,2
"PhD","Website",NA,NA,NA,"American",21,2.1,1
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,9.9,3
"MS","E-mail",3,155,167,"International",43,3.6,4
"PhD","E-mail",NA,NA,NA,"International",53,4.8,2
"MS","Website",3.65,168,152,"International",22,2.8,3
"PhD","Website",NA,NA,NA,"International",30,2.3,3
"PhD","E-mail",NA,NA,NA,"American",19,2.8,2
"MS","E-mail",NA,NA,NA,"International",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",33,3.4,3
"PhD","E-mail",3.94,145,170,"International",42,5.4,1
"MS","Website",3,156,170,"International",50,4.7,4
"MS","E-mail",3.6,165,168,"International",152,18.1,3
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",30,2.3,2
"PhD","E-mail",3.68,147,167,"International",52,6.4,3
"MS","E-mail",NA,NA,NA,"International",73,6.7,4
"MS","E-mail",3.89,159,158,"American",55,4.3,4
"MS","Website",NA,NA,NA,"International with US Degree",37,5,4
"PhD","E-mail",3.9,152,165,"American",73,6.7,2
"MS","Website",3.75,147,170,"International",11,1.4,2
"PhD","E-mail",NA,NA,NA,"International",37,5,4
"MS","E-mail",NA,NA,NA,"International with US Degree",152,18.1,2
"MS","E-mail",4,161,166,"International",68,8.7,3
"MS","E-mail",NA,NA,NA,"International",42,5.4,4
"PhD","E-mail",3.62,170,156,"International",83,9.9,3
"MS","E-mail",NA,NA,NA,"American",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International",53,6.9,3
"MS","E-mail",NA,NA,NA,"International",NA,NA,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",73,6.7,2
"PhD","E-mail",NA,NA,NA,"International",15,1.5,3
"PhD","E-mail",NA,NA,NA,"International",12,1.8,2
"MS","E-mail",NA,NA,NA,"American",47,5.8,3
"PhD","E-mail",3.48,151,166,"International",47,5.8,3
"MS","Website",NA,NA,NA,"International",53,4.8,4
"PhD","Website",3.66,142,166,"International",46,5.6,2
"PhD","E-mail",NA,NA,NA,"International",20,1.5,3
"PhD","E-mail",NA,NA,NA,"American",22,1.9,2
"MS","E-mail",NA,163,170,"Other",55,4.3,2
"PhD","E-mail",NA,NA,NA,"International",83,9.9,3
"PhD","E-mail",3.96,159,166,"International",152,18.1,2
"PhD","Website",NA,NA,NA,"International with US Degree",24,2.1,2
"PhD","E-mail",NA,NA,NA,"International",29,4.2,2
"MS","E-mail",3.56,149,164,"International",52,6.4,3
"PhD","E-mail",NA,165,165,"American",50,4.7,1
"PhD","E-mail",3.8,170,147,"International",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",22,2.4,3
"MS","E-mail",NA,NA,NA,"International",47,5.8,2
"MS","E-mail",3.66,153,163,"International with US Degree",68,8.7,3
"MS","E-mail",NA,NA,NA,"International",42,2.6,4
"MS","E-mail",3.15,156,158,"American",47,5.8,4
"PhD","E-mail",NA,NA,NA,"Other",73,6.7,5
"MS","Website",NA,NA,NA,"American",55,4.3,5
"MS","E-mail",3.33,160,158,"American",40,3.6,3
"MS","E-mail",NA,NA,NA,"International",57,11.5,3
"PhD","Phone",NA,NA,NA,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.6,12
"PhD","E-mail",3.8,159,170,"International",46,5.6,3
"PhD","E-mail",3.36,157,167,"International with US Degree",10,1.6,3
"MS","E-mail",3.4,162,159,"International",73,6.7,3
"PhD","E-mail",3.23,159,170,"American",37,3.4,4
"MS","E-mail",NA,NA,NA,"International",63,8.6,4
"PhD","E-mail",3,161,166,"International",NA,NA,2
"PhD","E-mail",NA,NA,NA,"International",19,2.8,3
"MS","E-mail",3.8,160,167,"International",19,1.9,4
"PhD","Website",NA,NA,NA,"International with US Degree",46,5.6,2
"PhD","Website",3.88,159,161,"International",11,1.4,3
"MS","E-mail",NA,NA,NA,"American",52,6.4,3
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","Website",NA,NA,NA,"International with US Degree",55,4.7,3
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"American",NA,NA,4
"PhD","E-mail",4,156,166,"International",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International",53,6.9,3
"PhD","E-mail",NA,NA,NA,"American",13,1.8,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",39,2.4,10
"MS","E-mail",3.6,162,160,"International",48,5.9,3
"PhD","Phone",4,163,166,"International",57,8.4,1
"MS","E-mail",NA,NA,NA,"American",53,6.9,3
"PhD","E-mail",NA,NA,NA,"International",22,2.8,3
"PhD","E-mail",3.8,163,170,"International",48,5.9,2
"PhD","Website",3.97,154,166,"International with US Degree",25,3.5,2
"MS","E-mail",NA,NA,NA,"International",63,8.6,3
"PhD","E-mail",3.95,155,159,"Other",22,1.9,2
"PhD","E-mail",NA,NA,NA,"International",53,6.9,4
"MS","E-mail",NA,NA,NA,"International",47,5.8,4
"PhD","Website",NA,NA,NA,"International",85,12.3,3
"PhD","E-mail",NA,NA,NA,"International",28,2.9,3
"MS","E-mail",3.78,157,170,"International",47,5.8,4
"PhD","E-mail",NA,NA,NA,"American",51,5.3,2
"PhD","E-mail",NA,NA,NA,"International",73,6.7,1
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","E-mail",NA,NA,NA,"American",30,2.3,2
"PhD","E-mail",3.5,146,168,"International",83,11.1,1
"PhD","E-mail",3.99,156,163,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",68,8.7,3
"MS","E-mail",3,150,162,"International",12,1.4,2
"MS","Website",NA,NA,NA,"International",38,3.1,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,3
"PhD","E-mail",3.96,143,168,"International",152,18.1,2
"PhD","Website",NA,NA,NA,"International",11,1.4,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",50,5.7,3
"PhD","E-mail",2.82,160,166,"American",57,8.4,2
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","Website",3.8,162,161,"American",26,2.5,2
"MS","E-mail",NA,NA,NA,"International",25,3.5,2
"PhD","E-mail",3.45,152,162,"International",19,1.9,4
"MS","E-mail",3.9,153,158,"American",50,5.7,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",23,2.7,2
"PhD","E-mail",NA,NA,NA,"International",26,2.5,2
"PhD","Website",NA,NA,NA,"American",26,3.3,2
"MS","E-mail",NA,NA,NA,"International with US Degree",22,2.4,4
"PhD","E-mail",NA,NA,NA,"American",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International",73,6.7,2
"PhD","E-mail",3.85,162,158,"American",37,5,2
"MS","E-mail",3,151,165,"International",23,2.7,3
"PhD","Other",3.8,162,164,"American",35,3.4,1
"MS","E-mail",NA,NA,NA,"International",24,2,2
"MS","Website",NA,NA,NA,"International",21,2.4,3
"PhD","Website",NA,NA,NA,"International",43,3.6,4
"PhD","Website",NA,NA,NA,"International",22,2.8,3
"PhD","Website",NA,169,166,"American",40,3.6,2
"MS","Website",NA,162,165,"International",52,6.4,3
"PhD","E-mail",NA,NA,NA,"International",83,11.1,3
"PhD","E-mail",NA,NA,NA,"American",46,4.3,2
"PhD","Website",3.57,145,154,"International",36,2.8,3
"PhD","E-mail",NA,NA,NA,"American",57,8.4,2
"MS","E-mail",NA,NA,NA,"American",46,4.3,4
"PhD","E-mail",NA,NA,NA,"International",51,5.3,2
"PhD","E-mail",NA,NA,NA,"International",19,1.6,2
"MS","E-mail",NA,NA,NA,"International",68,8.7,4
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","Website",3.9,162,166,"International",52,6.4,3
"PhD","E-mail",NA,NA,NA,"International",42,5.4,2
"PhD","E-mail",3.1,159,166,"International",55,4.3,3
"PhD","E-mail",NA,NA,NA,"International",10,1.3,2
"MS","Website",3.7,167,150,"International",46,5.6,12
"PhD","E-mail",NA,NA,NA,"International",53,4.8,3
"MS","E-mail",3.5,156,166,"International",35,3.4,3
"MS","E-mail",3.41,167,169,"International",37,5,4
"MS","Website",3.86,170,164,"American",29,4.2,3
"PhD","Website",NA,NA,NA,"International",73,6.7,4
"PhD","E-mail",NA,NA,NA,"International",53,6.9,4
"MS","E-mail",3.35,170,153,"International",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International",19,2.8,2
"PhD","Phone",NA,NA,NA,"International",57,11.5,2
"PhD","E-mail",3.97,145,159,"International",26,2.5,3
"PhD","E-mail",3.87,164,161,"American",57,11.5,2
"PhD","E-mail",2.96,152,167,"International",10,1.2,4
"PhD","E-mail",3.85,152,169,"International",68,8.7,2
"MS","Website",NA,NA,NA,"International",55,4.3,3
"MS","E-mail",NA,NA,NA,"International",23,1.9,4
"PhD","Website",NA,NA,NA,"International with US Degree",42,5.4,5
"PhD","E-mail",NA,NA,NA,"American",42,5.4,3
"PhD","E-mail",3.97,148,170,"International",57,8.4,2
"MS","E-mail",NA,149,170,"International",35,3.4,3
"MS","Website",3.8,164,166,"International",37,3.1,1
"MS","E-mail",3,155,167,"International",NA,NA,3
"PhD","E-mail",NA,NA,NA,"International",22,2.8,3
"PhD","E-mail",NA,NA,NA,"American",57,8.4,2
"PhD","E-mail",NA,NA,NA,"American",21,2.4,4
"PhD","E-mail",3.77,159,164,"International",57,8.4,2
"PhD","Other",NA,NA,NA,"American",85,12.3,2
"PhD","Website",NA,NA,NA,"International",13,1.8,4
"PhD","E-mail",NA,NA,NA,"International",13,1.8,3
"MS","Website",3.88,162,168,"International",26,3.3,3
"MS","E-mail",3.2,148,156,"International",55,4.7,1
"PhD","E-mail",NA,NA,NA,"International with US Degree",15,1.5,11
"PhD","E-mail",3,166,170,"American",152,18.1,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,3
"PhD","E-mail",NA,NA,NA,"American",73,6.7,2
"PhD","E-mail",NA,NA,NA,"American",68,8.7,2
"MS","E-mail",NA,148,166,"International",46,4.3,4
"MS","Website",3.65,157,161,"International",21,2.4,3
"PhD","E-mail",NA,NA,NA,"International",35,3.4,2
"PhD","E-mail",NA,NA,NA,"American",22,2.8,2
"PhD","E-mail",NA,NA,NA,"International",51,5.3,2
"PhD","E-mail",NA,NA,NA,"American",51,5.3,2
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"PhD","E-mail",NA,NA,NA,"International",43,3.6,2
"PhD","E-mail",NA,NA,NA,"American",152,18.1,3
"PhD","Website",NA,NA,NA,"International",83,11.1,2
"PhD","Website",NA,NA,NA,"International",26,2.5,3
"PhD","E-mail",3.3,159,166,"International",152,18.1,2
"MS","E-mail",NA,153,168,"International",35,3.4,3
"MS","E-mail",NA,NA,NA,"International",83,11.1,3
"PhD","E-mail",NA,NA,NA,"American",83,11.1,3
"PhD","Website",3.86,156,161,"International",11,1.4,3
"MS","E-mail",NA,NA,NA,"International",22,1.9,3
"MS","E-mail",3.75,152,166,"American",NA,NA,3
"PhD","Other",NA,NA,NA,"International",35,3.4,2
"PhD","E-mail",NA,NA,NA,"International",20,2.3,4
"MS","E-mail",NA,NA,NA,"American",19,1.6,3
"MS","Other",3.65,169,150,"International",68,8.7,2
"MS","E-mail",3.15,156,158,"American",46,4.3,4
"PhD","E-mail",NA,NA,NA,"International",47,3,4
"PhD","E-mail",NA,NA,NA,"International",68,8.7,3
"MS","E-mail",3.78,162,162,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",35,3.4,3
"PhD","Website",3.4,159,165,"International",83,11.1,3
"MS","E-mail",3.76,164,170,"International",152,18.1,2
"MS","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","Website",NA,NA,NA,"International",42,5.4,4
"MS","E-mail",NA,160,166,"International with US Degree",83,9.9,2
"PhD","E-mail",NA,167,165,"American",42,5.4,3
"MS","Website",NA,NA,NA,"International",24,2.1,4
"MS","E-mail",NA,NA,NA,"International",42,5.4,4
"PhD","E-mail",NA,NA,NA,"International",51,5.3,2
"PhD","Website",3.62,158,161,"International",43,3.6,3
"PhD","E-mail",3.8,156,170,"International",28,2.9,6
"PhD","E-mail",NA,NA,NA,"International with US Degree",57,11.5,2
"MS","E-mail",3.8,170,161,"American",53,6.9,2
"MS","E-mail",NA,NA,NA,"International",73,6.7,3
"MS","Website",3.26,143,166,"International",55,4.7,4
"PhD","E-mail",3.99,170,147,"American",19,2.8,3
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"PhD","E-mail",3.96,148,163,"International",21,2.4,3
"PhD","E-mail",NA,NA,NA,"American",57,11.5,2
"MS","E-mail",NA,NA,NA,"American",47,5.8,3
"PhD","E-mail",NA,NA,NA,"Other",37,5,2
"PhD","E-mail",NA,NA,NA,"International",42,5.4,3
"PhD","E-mail",3.77,158,166,"International with US Degree",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,2
"PhD","Website",3.78,165,170,"American",46,5.6,2
"MS","E-mail",3.8,154,166,"International",NA,NA,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",52,6.4,3
"MS","E-mail",NA,NA,NA,"International",26,2.3,10
"MS","E-mail",NA,159,163,"International",52,6.4,2
"MS","E-mail",4,170,170,"American",51,5.3,2
"PhD","E-mail",NA,NA,NA,"International",53,6.9,2
"PhD","Website",NA,NA,NA,"International",42,5.4,3
"PhD","E-mail",4,167,166,"International",10,1.6,2
"MS","E-mail",NA,NA,NA,"International",53,6.9,1
"PhD","Website",NA,NA,NA,"International with US Degree",24,2.1,2
"MS","Other",3.67,157,164,"American",26,3.3,2
"PhD","E-mail",3.77,158,170,"International",43,3.6,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",47,3,3
"PhD","E-mail",NA,NA,NA,"American",13,1.6,2
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"MS","Website",3.47,154,158,"International",9,1.4,4
"MS","Website",NA,NA,NA,"International",38,3.1,10
"MS","E-mail",NA,NA,NA,"International",48,5.9,10
"MS","E-mail",NA,NA,NA,"International",152,18.1,3
"MS","E-mail",3.76,164,163,"International",83,9.9,2
"MS","E-mail",NA,NA,NA,"International",50,5.7,3
"MS","E-mail",3.6,156,164,"International",50,4.7,3
"PhD","E-mail",NA,NA,NA,"International",63,8.6,4
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"PhD","Website",3.57,145,154,"International",28,2.9,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,3
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","Website",NA,NA,NA,"International with US Degree",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",68,8.7,3
"PhD","E-mail",3.7,155,170,"International",85,12.3,2
"PhD","Phone",NA,NA,NA,"International with US Degree",85,12.3,2
"PhD","Website",NA,NA,NA,"International",37,3.4,4
"MS","E-mail",3.54,160,166,"International",152,18.1,2
"PhD","E-mail",3.7,159,161,"Other",83,11.1,3
"MS","E-mail",NA,NA,NA,"International",68,8.7,3
"MS","E-mail",4,170,169,"American",22,2.4,2
"MS","E-mail",3.52,155,169,"International",50,5.7,5
"PhD","E-mail",NA,NA,NA,"International",53,4.8,2
"MS","E-mail",NA,NA,NA,"International",63,8.6,3
"MS","E-mail",NA,NA,NA,"American",46,4.3,4
"PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",12,1.5,4
"MS","Website",NA,147,170,"International",23,1.9,4
"MS","E-mail",NA,NA,NA,"International",53,6.9,2
"PhD","E-mail",NA,NA,NA,"American",152,18.1,2
"MS","E-mail",2.59,160,154,"American",73,6.7,3
"MS","E-mail",NA,NA,NA,"International",73,6.7,4
"MS","E-mail",NA,NA,NA,"International",83,9.9,3
"PhD","E-mail",NA,NA,NA,"International with US Degree",53,4.8,2
"MS","Website",NA,NA,NA,"International",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"MS","Other",NA,156,162,"International",39,2.4,3
"PhD","Website",3.69,156,161,"International",24,2.1,2
"MS","E-mail",NA,NA,NA,"International",21,2.1,3
"MS","E-mail",NA,NA,NA,"International",26,2.5,3
"PhD","E-mail",NA,NA,NA,"International",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",22,2.8,4
"MS","E-mail",NA,NA,NA,"International",53,4.8,3
"PhD","Phone",NA,NA,NA,"American",21,2.4,2
"MS","E-mail",3.86,167,169,"American",57,11.5,3
"PhD","E-mail",3.78,147,169,"International",73,6.7,2
"PhD","E-mail",NA,NA,NA,"International",42,5.4,1
"MS","E-mail",NA,160,164,"International",48,5.9,3
"MS","Website",3,162,165,"International",46,4.3,1
"PhD","Website",3.7,161,161,"American",33,3.4,3
"MS","E-mail",3.65,164,166,"American",53,6.9,3
"PhD","E-mail",NA,NA,NA,"International",48,5.9,1
"MS","E-mail",NA,NA,NA,"International",68,8.7,3
"MS","E-mail",3.9,162,166,"International",68,8.7,3
"MS","E-mail",3.78,159,170,"American",152,18.1,2
"PhD","Website",3.85,142,165,"International",85,12.3,2
"PhD","E-mail",NA,NA,NA,"International",50,4.7,4
"PhD","E-mail",NA,NA,NA,"International",68,8.7,2
"PhD","Website",NA,NA,NA,"International with US Degree",53,6.9,4
"PhD","E-mail",NA,NA,NA,"International",23,1.9,3
"MS","E-mail",NA,NA,NA,"International",23,1.9,4
"MS","Phone",NA,NA,NA,"Other",55,4.7,2
"PhD","E-mail",NA,NA,NA,"International",24,2,4
"PhD","E-mail",NA,NA,NA,"American",47,5.8,3
"PhD","E-mail",NA,NA,NA,"International",22,2.4,3
"MS","E-mail",NA,160,164,"International",52,6.4,3
"MS","E-mail",NA,NA,NA,"International",53,6.9,3
"MS","E-mail",NA,NA,NA,"Other",50,4.7,4
"PhD","E-mail",NA,NA,NA,"International",73,6.7,3
"PhD","E-mail",4,168,166,"International with US Degree",83,11.1,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",68,8.7,2
"MS","Website",NA,NA,NA,"International",38,3.1,5
"MS","Website",NA,NA,NA,"International",25,3.5,3
"MS","E-mail",4,160,165,"International",46,5.6,5
"MS","E-mail",3.4,157,165,"International",46,4.3,4
"MS","E-mail",3.71,162,163,"International",37,5,3
"MS","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","E-mail",3.11,147,158,"International",43,3.6,3
"PhD","E-mail",3.9,165,163,"American",83,9.9,1
"MS","E-mail",3.8,161,169,"International",48,5.9,2
"MS","Website",3.3,164,166,"International",30,2.3,3
"PhD","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","E-mail",NA,147,160,"International",37,5,2
"MS","E-mail",NA,NA,NA,"International",53,6.9,4
"PhD","Phone",NA,NA,NA,"International with US Degree",46,5.6,2
"PhD","E-mail",4,165,166,"International",57,8.4,2
"PhD","E-mail",NA,NA,NA,"International",55,4.7,2
"MS","E-mail",3.4,150,163,"International",NA,NA,2
"PhD","Website",NA,NA,NA,"International",85,12.3,3
"PhD","E-mail",3.7,166,166,"American",83,9.9,2
"PhD","E-mail",NA,NA,NA,"International",63,8.6,2
"MS","E-mail",NA,NA,NA,"American",57,11.5,3
"MS","E-mail",NA,NA,NA,"International",20,1.5,3
"PhD","E-mail",3.83,163,167,"International",57,11.5,2
"PhD","E-mail",NA,NA,NA,"International",37,3.1,4
"MS","E-mail",NA,NA,NA,"International",38,3.1,3
"MS","Website",3.69,160,170,"International",22,2.8,4
"PhD","E-mail",3.4,168,170,"International",46,5.6,2
"MS","E-mail",NA,162,170,"International",47,5.8,3
"PhD","E-mail",3.75,154,160,"International with US Degree",68,8.7,3
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",24,2,1
"PhD","E-mail",NA,NA,NA,"International",63,8.6,3
"PhD","Website",NA,NA,NA,"American",26,3.3,2
"PhD","E-mail",4,168,164,"American",46,5.6,NA
"MS","E-mail",NA,NA,NA,"International",48,5.9,3
"PhD","E-mail",4,163,166,"International",15,1.5,3
"PhD","E-mail",NA,NA,NA,"International",22,2.5,4
"PhD","E-mail",NA,160,164,"International",26,2.3,10
"PhD","E-mail",NA,NA,NA,"International",NA,NA,1
"MS","E-mail",3.86,150,170,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"American",40,3.6,1
"PhD","E-mail",NA,NA,NA,"International",26,2.5,2
"PhD","Website",NA,NA,NA,"American",46,5.6,2
"PhD","Website",3.99,155,164,"International",85,12.3,2
"MS","E-mail",3.4,150,163,"International",50,5.7,5
"MS","E-mail",3.9,163,165,"International",30,2.3,2
"MS","E-mail",NA,NA,NA,"International",46,4.3,5
"MS","E-mail",3.93,157,164,"American",22,2.4,3
"PhD","Website",NA,NA,NA,"American",37,3.4,2
"MS","E-mail",NA,NA,NA,"International with US Degree",57,11.5,3
"MS","E-mail",3.3,156,164,"International",46,5.6,1
"PhD","Website",NA,NA,NA,"International",33,2.8,3
"PhD","E-mail",NA,NA,NA,"International",48,5.9,2
"PhD","Website",NA,166,170,"American",83,11.1,3
"PhD","E-mail",NA,NA,NA,"International",22,2.8,3
"MS","E-mail",3.7,158,164,"International",26,2.3,2
"MS","E-mail",3.3,159,166,"American",53,4.8,2
"MS","E-mail",3.83,144,159,"International",30,2.8,10
"PhD","Website",NA,NA,NA,"International",37,5,4
"PhD","Other",NA,NA,NA,"International",42,5.4,3
"PhD","Website",NA,NA,NA,"International",47,5.8,3
"PhD","E-mail",3.2,156,147,"International",22,2.8,11
"PhD","E-mail",NA,NA,NA,"International",57,8.4,2
"PhD","Website",NA,NA,NA,"International",26,3.3,2
"PhD","E-mail",3.6,146,166,"International",37,3.1,2
"PhD","E-mail",NA,NA,NA,"International",11,1.4,4
"PhD","E-mail",NA,NA,NA,"American",37,5,2
"PhD","Website",3.8,154,170,"International",37,5,3
