"degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"MS","Website",NA,164,170,"International",73,6.7,3
"MS","E-mail",3.98,164,161,"International with US Degree",83,9.9,3
"MS","Website",3.5,154,166,"International",30,2.3,3
"PhD","Website",3.91,163,166,"International",83,11.1,2
"MS","E-mail",NA,NA,NA,"International",37,5,4
"PhD","E-mail",NA,NA,NA,"International",50,4.7,2
"PhD","Phone",3.95,159,168,"International with US Degree",63,8.6,1
"PhD","E-mail",3.92,165,170,"Other",152,18.1,1
"MS","E-mail",NA,NA,NA,"International",55,4.3,4
"PhD","E-mail",3.6,154,167,"International",53,6.9,1
"PhD","E-mail",3.82,170,150,"International with US Degree",68,8.7,1
"PhD","E-mail",3.99,161,166,"International",52,6.4,3
"PhD","E-mail",4,154,166,"International",29,4.2,2
"PhD","E-mail",3.9,159,164,"American",37,3.1,4
"MS","Website",NA,154,161,"International",35,3.4,3
"PhD","E-mail",NA,NA,NA,"International",37,5,4
"MS","E-mail",3.44,154,158,"International",42,2.6,3
"MS","Website",NA,NA,NA,"International",13,1.8,3
"PhD","E-mail",NA,NA,NA,"International",46,4.3,3
"PhD","E-mail",NA,NA,NA,"International",9,1.5,5
"PhD","E-mail",NA,162,158,"International",30,2.3,2
"PhD","E-mail",3.84,166,168,"International",13,1.8,2
"PhD","E-mail",NA,163,170,"International",55,4.3,2
"MS","E-mail",NA,NA,NA,"International",53,4.8,1
"PhD","E-mail",NA,NA,NA,"International",30,2.8,3
"MS","E-mail",NA,NA,NA,"International",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",19,2.8,3
"PhD","E-mail",3.99,155,164,"International",53,6.9,4
"PhD","Website",NA,NA,NA,"International with US Degree",26,3.3,2
"PhD","E-mail",3.68,165,165,"American",47,5.8,3
"MS","Website",NA,NA,NA,"International",30,2.3,3
"PhD","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"American",68,8.7,2
"PhD","E-mail",4,159,166,"International with US Degree",57,8.4,2
"MS","E-mail",NA,NA,NA,"International",19,2.8,4
"MS","E-mail",3.73,163,164,"International",47,5.8,3
"PhD","E-mail",3.2,141,166,"International with US Degree",83,9.9,3
"MS","Website",NA,164,164,"International",73,6.7,3
"PhD","E-mail",3.8,162,170,"International with US Degree",73,6.7,2
"PhD","E-mail",3.6,159,170,"International",63,8.6,4
"PhD","E-mail",3.97,170,154,"International",53,4.8,2
"PhD","E-mail",NA,NA,NA,"International",50,5.7,1
"MS","E-mail",NA,NA,NA,"International",152,18.1,2
"PhD","E-mail",3.63,163,170,"American",35,3.4,2
"PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,3
"MS","E-mail",3.75,169,166,"International",152,18.1,2
"PhD","E-mail",NA,NA,NA,"International",53,6.9,3
"MS","E-mail",NA,NA,NA,"International",38,3.1,10
"PhD","E-mail",3.25,149,162,"International",55,4.3,2
"MS","E-mail",NA,NA,NA,"International",68,8.7,3
"PhD","E-mail",NA,NA,NA,"International",12,1.8,4
"PhD","E-mail",NA,NA,NA,"International",21,2.1,2
"PhD","E-mail",3.6,159,170,"International",152,18.1,4
"MS","E-mail",3.29,160,163,"American",37,5,2
"PhD","E-mail",3.89,144,166,"International",152,18.1,2
"PhD","Website",3.95,165,164,"International",26,2.5,2
"PhD","E-mail",NA,NA,NA,"International",9,1.3,4
"MS","E-mail",3.9,152,166,"International",42,5.4,4
"MS","E-mail",NA,164,170,"International",32,2.7,2
"PhD","E-mail",NA,NA,NA,"International",57,11.5,2
"MS","E-mail",NA,159,170,"International with US Degree",73,6.7,3
"PhD","Phone",3.6,158,159,"International with US Degree",83,11.1,2
"PhD","E-mail",3.84,170,168,"American",50,5.7,2
"PhD","E-mail",NA,NA,NA,"International",50,5.7,3
