is_phd,is_ms,is_spring,is_fall,year,university_name,university_ranking,university_faculty,university_publication,gpa,gre_verbal,gre_quant,gre_writing,is_american,is_international_without_american_degree,is_international_with_american_degree
False,True,True,False,15,"University Of Maryland, Baltimore County (UMBC)",325,15.0,1.5,3.6,159.0,164.0,3.5,False,True,False
True,False,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.91,152.0,166.0,4.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.97,150.0,168.0,4.5,False,True,False
True,False,True,False,15,Rutgers University,105,43.0,3.6,3.55,160.0,167.0,3.5,False,True,False
False,True,True,False,15,George Mason University (GMU),325,28.0,2.0,3.3,143.0,160.0,3.0,False,True,False
False,True,True,False,15,North Caroline State University (NCSU),1000,30.0,2.3,3.1,156.0,161.0,3.0,False,True,False
True,False,True,False,15,Michigan State University (MSU),122,19.0,1.9,3.73,152.0,168.0,3.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.5,140.0,160.0,3.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.6,159.0,164.0,3.5,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.74,154.0,167.0,3.5,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,4.0,162.0,163.0,4.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.6,161.0,168.0,3.5,True,False,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.6,161.0,168.0,3.5,True,False,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.6,161.0,168.0,3.5,True,False,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.5,158.0,168.0,4.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.4,150.0,163.0,2.5,False,True,False
False,True,True,False,15,University Of Pennsylvania (UPenn),19,46.0,5.6,3.6,165.0,164.0,4.0,True,False,False
False,True,True,False,15,"University Of Tennessee, Knoxville",275,11.0,1.6,3.8,144.0,165.0,3.5,False,True,False
True,False,True,False,15,"Texas A&M University, College Station (TAMU)",164,38.0,3.1,3.65,159.0,165.0,3.5,False,True,False
True,False,True,False,15,Arizona State University (ASU),161,26.0,2.3,3.51,153.0,167.0,3.5,False,True,False
True,False,True,False,15,University Of Central Florida (UCF),1000,24.0,2.0,3.51,153.0,167.0,3.5,False,True,False
True,False,True,False,15,"University Of Illinois, Chicago (UIC)",197,33.0,2.8,3.51,153.0,167.0,3.5,False,True,False
True,False,True,False,15,Ohio State University (OSU),66,35.0,3.4,3.51,153.0,167.0,3.5,False,True,False
True,False,True,False,15,Oregon State University,288,30.0,2.8,3.51,153.0,157.0,3.5,False,True,False
True,False,True,False,15,Virginia Tech,72,39.0,2.4,3.51,153.0,167.0,3.5,False,True,False
True,False,True,False,15,"University Of Colorado, Boulder",67,47.0,3.0,3.44,159.0,156.0,3.0,True,False,False
True,False,True,False,15,University Of Houston,325,13.0,1.5,3.47,145.0,161.0,3.0,False,True,False
True,False,True,False,15,"University Of California, Riverside (UCR)",117,36.0,2.8,3.44,159.0,156.0,3.0,True,False,False
True,False,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.44,159.0,156.0,3.0,True,False,False
True,False,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.44,159.0,156.0,3.5,True,False,False
True,False,True,False,15,Northeastern University,213,55.0,4.7,3.0,150.0,167.0,3.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.67,154.0,164.0,3.0,False,True,False
True,False,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.8,157.0,170.0,4.0,False,True,False
True,False,True,False,15,Northeastern University,213,55.0,4.7,2.7,153.0,160.0,3.0,False,True,False
False,True,True,False,15,Rutgers University,105,43.0,3.6,3.5,151.0,161.0,4.0,True,False,False
True,False,True,False,15,Northeastern University,213,55.0,4.7,1.93,160.0,163.0,3.0,False,True,False
False,True,True,False,15,University Of Pennsylvania (UPenn),19,46.0,5.6,3.3,164.0,166.0,5.5,True,False,False
False,True,True,False,15,Rutgers University,105,43.0,3.6,3.4,150.0,163.0,2.5,False,True,False
True,False,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.65,159.0,165.0,3.5,False,True,False
True,False,True,False,15,North Caroline State University (NCSU),1000,30.0,2.3,3.89,158.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.4,157.0,168.0,3.0,False,True,False
False,True,True,False,15,University Of Pennsylvania (UPenn),19,46.0,5.6,3.73,156.0,158.0,5.5,True,False,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.83,165.0,166.0,3.0,False,True,False
False,True,True,False,15,New York University (NYU),60,46.0,4.3,3.15,156.0,158.0,4.0,True,False,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.4,155.0,162.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,4.0,159.0,163.0,3.0,False,True,False
False,True,True,False,15,"University Of Colorado, Colorado Springs",1000,6.0,1.2,2.95,151.0,157.0,2.5,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.7,151.0,168.0,3.5,False,True,False
True,False,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.68,153.0,162.0,4.0,False,True,False
True,False,True,False,15,"University Of California, Riverside (UCR)",117,36.0,2.8,3.56,158.0,165.0,4.0,True,False,False
False,True,True,False,15,Northeastern University,213,55.0,4.7,3.32,152.0,167.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.83,142.0,161.0,3.0,False,True,False
False,True,True,False,15,Florida State University (FSU),225,14.0,1.4,3.83,142.0,161.0,3.0,False,True,False
False,True,True,False,15,"University Of Illinois, Chicago (UIC)",197,33.0,2.8,3.83,142.0,161.0,3.0,False,True,False
False,True,True,False,15,Arizona State University (ASU),161,26.0,2.3,3.83,142.0,161.0,3.0,False,True,False
False,True,True,False,15,New York University (NYU),60,46.0,4.3,3.83,142.0,161.0,3.0,False,True,False
False,True,True,False,15,University Of Georgia,213,7.0,1.3,3.87,142.0,161.0,3.0,False,True,False
False,True,True,False,15,"University Of California, Davis (UCD)",54,28.0,2.9,3.4,158.0,163.0,4.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.6,161.0,170.0,4.0,False,True,False
False,True,True,False,15,"University Of Minnesota, Twin Cities (UMN)",52,37.0,3.1,3.94,144.0,168.0,3.0,False,False,True
True,False,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.55,160.0,167.0,3.5,False,True,False
False,True,True,False,15,Northeastern University,213,55.0,4.7,3.0,158.0,161.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.5,144.0,145.0,3.0,False,True,False
True,False,True,False,15,George Mason University (GMU),325,28.0,2.0,3.28,148.0,157.0,3.5,False,True,False
True,False,True,False,15,Washington State University (WSU),325,12.0,1.4,3.28,148.0,157.0,3.5,False,True,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.15,157.0,165.0,4.5,False,True,False
False,True,True,False,15,New York University (NYU),60,46.0,4.3,3.4,150.0,167.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.6,158.0,163.0,4.0,False,True,False
True,False,True,False,15,George Mason University (GMU),325,28.0,2.0,2.96,152.0,167.0,3.5,False,True,False
True,False,True,False,15,University Of South Florida (USF),325,10.0,1.3,2.96,152.0,167.0,3.5,False,True,False
True,False,True,False,15,Colorado State University (CSU),238,10.0,1.2,2.96,152.0,167.0,3.5,False,True,False
False,True,True,False,15,Arizona State University (ASU),161,26.0,2.3,3.45,150.0,166.0,3.5,False,True,False
False,True,True,False,15,"University Of Washington, Seattle (UW)",23,57.0,8.4,3.76,162.0,163.0,5.0,False,True,False
True,False,True,False,15,Rensselaer Polytechnic Institute (RPI),104,13.0,1.8,3.76,162.0,163.0,5.0,False,True,False
True,False,True,False,15,"University Of Colorado, Boulder",67,47.0,3.0,3.89,158.0,168.0,4.0,False,True,False
True,False,True,False,15,Rensselaer Polytechnic Institute (RPI),104,13.0,1.8,3.89,158.0,168.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Santa Barbara (UCSB)",29,25.0,3.5,3.85,157.0,167.0,4.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.6,154.0,170.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Santa Barbara (UCSB)",29,25.0,3.5,3.35,157.0,170.0,4.0,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.6,158.0,163.0,4.0,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.8,154.0,164.0,3.5,False,True,False
False,True,True,False,15,Columbia University,18,47.0,5.8,3.8,155.0,170.0,3.5,False,True,False
True,False,True,False,15,"University Of California, Santa Barbara (UCSB)",29,25.0,3.5,3.8,157.0,168.0,4.0,False,False,True
False,True,True,False,15,Northeastern University,213,55.0,4.7,3.3,154.0,156.0,4.0,False,True,False
False,True,True,False,15,"Indiana University, Bloomington",156,42.0,2.6,3.3,154.0,156.0,4.0,False,True,False
False,True,True,False,15,"University Of Michigan, Ann Arbor (UMich)",15,63.0,8.6,3.69,167.0,164.0,5.0,True,False,False
True,False,True,False,15,University Of Virginia (UVA),72,21.0,2.4,3.45,143.0,164.0,3.0,False,True,False
False,True,True,False,15,"University Of Michigan, Ann Arbor (UMich)",15,63.0,8.6,3.83,161.0,160.0,5.0,True,False,False
True,False,True,False,15,Arizona State University (ASU),161,26.0,2.3,3.4,158.0,163.0,4.0,False,True,False
False,True,True,False,15,University Of Southern California (USC),73,50.0,5.7,3.32,162.0,153.0,4.0,True,False,False
False,True,True,False,15,"University Of Florida, Gainesville (UFL)",125,23.0,1.9,3.7,154.0,163.0,3.5,False,True,False
False,True,True,False,15,Brown University,55,26.0,3.3,3.4,155.0,165.0,4.0,False,True,False
True,False,True,False,15,University Of Delaware,159,11.0,1.4,3.71,156.0,168.0,3.5,False,True,False
False,True,True,False,15,"University Of California, Irvine (UCI)",49,55.0,4.3,3.94,151.0,161.0,4.0,False,True,False
True,False,True,False,15,Pennsylvania State University (Penn State),109,33.0,3.4,3.91,163.0,160.0,5.0,False,False,True
False,True,True,False,15,Cornell University,14,68.0,8.7,3.25,156.0,169.0,3.5,False,True,False
True,False,True,False,15,University Of Rochester,81,21.0,2.1,3.14,145.0,165.0,3.0,False,True,False
